Category,Topic,Question,Answer,
Government Scheme,PM Kisan Scheme,What is Pradhan Mantri Kisan Samman Nidhi?,"Pradhan Mantri Kisan Samman Nidhi (PM Kisan) is a new Central Sector Scheme to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs. Under the PM Kisan Scheme, the entire financial liability towards transfer of benefit to targeted beneficiaries will be borne by Government of India.",
Government Scheme,PM Kisan Scheme,Whether the benefits of the PM Kisan Scheme are admissible to only Small & Marginal Farmers' (SMF) families?,"No. In the beginning when the PM Kisan Scheme was launched on 24th February, 2019, its benefits were admissible only to Small & Marginal Farmers' (SMF) families, with combined landholding upto 2 hectare. The PM Kisan Scheme was later on revised w.e.f. 1.6.2019 and extended to all farmer families irrespective of the size of their landholdings.",
Government Scheme,PM Kisan Scheme,When was the PM Kisan Scheme launched?,"The PM Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019.",
Government Scheme,PM Kisan Scheme,From which date the PM Kisan Scheme has come into effect?,The PM Kisan Scheme takes effect from 01.12.2018.,
Government Scheme,PM Kisan Scheme,Who are eligible to get benefits under the PM Kisan Scheme?,"All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the PM Kisan Scheme.",
Government Scheme,PM Kisan Scheme,Who are not eligible to get benefits under the PM Kisan Scheme?,"Under the PM Kisan Scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months. The following categories are not eligible to get the benefits of the PM Kisan Scheme: (a) All Institutional Land holders; and (b) Farmer families in which one or more of its members belong to the following categories - i. Former and present holders of constitutional posts ii. Former and present Ministers/ State Ministers and former/present Members of Lok sabha/ Rajya sabha/ state Legislative Assemblies/ State Legislative councils, former and present Mayors of Municipal corporations, former and present Chairpersons of District Panchayats iii. All serving or retired officers and employees of Central/ State Government Ministries /Offices/Departments and its field units Central or State PSEs and Attached offices /Autonomous Institutions under Government as well as regular employees of the Local Bodies (Excluding Multi Tasking staff / Class IV/Group D employees) iv. All superannuated/retired pensioners Rs.10,000/-or more(Excluding Multi Tasking Staff / Class IV/Group D employees) v. All Persons who paid Income Tax in last assessment year vi. Professionals like Doctors, Engineers, Lawyers, Chartered Accountants, and Architects registered with Professional bodies and carrying out profession by undertaking practices.",
Government Scheme,PM Kisan Scheme,How many times the benefit will be given in a year under PM Kisan Scheme?,"Under the PM Kisan Scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months.",
Government Scheme,PM Kisan Scheme,"Whether an employee of the Central/State Government / PSU / Autonomous Organization, etc., who holds cultivable land in his/her own name in villages, is eligible to get the benefit under the PM Kisan Scheme?","No. All serving or retired officers and employees of central / state Government Ministries / Offices / Departments and their field units, Central or State PSEs and Attached offices / Autonomous Institutions under Government as well as regular employees of the Local Bodies are not eligible to get benefit under the PM Kisan Scheme.",
Government Scheme,PM Kisan Scheme,Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the PM Kisan Scheme?,"Yes. The ambit of the PM Kisan Scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.",
Government Scheme,PM Kisan Scheme,What will happen if the beneficiary gives incorrect declaration for the implementation of the PM Kisan Scheme?,"In case of incorrect declaration, the beneficiary shall be liable for recovery of transferred financial benefit and other penal actions as per law.",
Government Scheme,PM Kisan Scheme,What is the cutoff date for determination of eligibility of beneficiaries under the PM Kisan Scheme?,"The cut-off date for determination of eligibility of beneficiaries under the PM Kisan Scheme is 01.02.2019 and no changes thereafter shall be considered for eligibility of benefit under the PM Kisan Scheme for next 5 years, except transfer of land on succession in case of death of landholder.",
Government Scheme,PM Kisan Scheme,Whether the PM Kisan Scheme benefits will be allowed in cases where transfer of ownership of cultivable land takes place after the cut-off date of 01.02.2019 on account of succession due to death of the landowner?,Yes. The PM Kisan Scheme benefits will be allowed in all such cases where transfer of ownership of cultivable land has taken place after the cut-off date of 01.02.2019 on account of succession due to death of the landowner.,
